,Movie Title,Percentage of Positive Reviews
0,Make a Selection,0
1,1-900 (1994),60
2,101 Dalmatians (1996),70.64
3,12 Angry Men (1957),99.2
4,187 (1997),68.29
5,2 Days in the Valley (1996),83.87
6,"20,000 Leagues Under the Sea (1954)",91.67
7,2001: A Space Odyssey (1968),90.35
8,"39 Steps, The (1935)",94.92
9,8 1/2 (1963),86.84
10,8 Heads in a Duffel Bag (1997),75
11,8 Seconds (1994),75
12,A Chef in Love (1996),100
13,Above the Rim (1994),80
14,Absolute Power (1997),84.25
15,"Abyss, The (1989)",88.74
16,Ace Ventura: Pet Detective (1994),70.87
17,Ace Ventura: When Nature Calls (1995),62.16
18,Across the Sea of Time (1995),75
19,Addams Family Values (1993),66.67
20,Addicted to Love (1997),77.78
21,"Addiction, The (1995)",36.36
22,"Adventures of Pinocchio, The (1996)",71.79
23,"Adventures of Priscilla, Queen of the Desert, The (1994)",89.19
24,"Adventures of Robin Hood, The (1938)",92.54
25,"Affair to Remember, An (1957)",92.31
26,"African Queen, The (1951)",98.68
27,Afterglow (1997),72.22
28,"Age of Innocence, The (1993)",80
29,Aiqing wansui (1994),100
30,Air Bud (1997),53.49
31,Air Force One (1997),88.17
32,"Air Up There, The (1994)",81.25
33,Airheads (1994),37.5
34,Akira (1988),80
35,Aladdin (1992),92.24
36,Aladdin and the King of Thieves (1996),65.38
37,Alaska (1996),61.54
38,Albino Alligator (1996),66.67
39,Alice in Wonderland (1951),95.06
40,Alien (1979),94.16
41,Alien 3 (1992),57
42,Alien: Resurrection (1997),68.55
43,Aliens (1986),92.25
44,All About Eve (1950),95.45
45,All Dogs Go to Heaven 2 (1996),33.33
46,All Over Me (1997),100
47,All Things Fair (1996),100
48,Alphaville (1965),75
49,Amadeus (1984),97.1
50,Amateur (1994),61.11
51,"Amazing Panda Adventure, The (1995)",50
52,American Buffalo (1996),54.55
53,American Dream (1990),50
54,"American President, The (1995)",90.24
55,American Strays (1996),50
56,"American Werewolf in London, An (1981)",88.89
57,"American in Paris, An (1951)",94
58,Amistad (1997),87.9
59,"Amityville Horror, The (1979)",54.72
60,Amityville II: The Possession (1982),21.43
61,Amos & Andrew (1993),57.89
62,An Unforgettable Summer (1994),75
63,Anaconda (1997),47.37
64,Anastasia (1997),78.79
65,Andre (1994),66.67
66,Angel Baby (1995),75
67,Angel and the Badman (1947),83.33
68,Angela (1995),100
69,Angels and Insects (1995),76.39
70,Angels in the Outfield (1994),76.92
71,Angus (1995),64.29
72,Anna (1996),100
73,Anna Karenina (1997),63.64
74,Anne Frank Remembered (1995),85.71
75,Annie Hall (1977),90
76,Another Stakeout (1993),53.57
77,Antonia's Line (1995),91.3
78,Aparajito (1956),71.43
79,"Apartment, The (1960)",95.24
80,Apocalypse Now (1979),93.21
81,Apollo 13 (1995),95.65
82,"Apostle, The (1997)",85.45
83,"Apple Dumpling Gang, The (1975)",72
84,April Fool's Day (1986),66.67
85,Apt Pupil (1998),96.88
86,"Aristocats, The (1970)",70.37
87,Army of Darkness (1993),81.9
88,Around the World in 80 Days (1956),93.22
89,"Arrival, The (1996)",69.88
90,Arsenic and Old Lace (1944),97.39
91,As Good As It Gets (1997),98.21
92,Assassins (1995),66.67
93,"Assignment, The (1997)",83.33
94,"Associate, The (1996)",75.61
95,Audrey Rose (1977),25
96,Austin Powers: International Man of Mystery (1997),74.62
97,"Awfully Big Adventure, An (1995)",50
98,Ayn Rand: A Sense of Life (1997),71.43
99,B*A*P*S (1997),33.33
100,B. Monkey (1998),100
101,Babe (1995),92.24
102,"Baby-Sitters Club, The (1995)",40
103,"Babysitter, The (1995)",66.67
104,Back to the Future (1985),93.43
105,Backbeat (1993),84.21
106,Bad Boys (1995),77.19
107,Bad Company (1995),22.22
108,Bad Girls (1994),16.67
109,Bad Moon (1996),66.67
110,Bad Taste (1987),68.75
111,"Ballad of Narayama, The (Narayama Bushiko) (1958)",50
112,Balto (1995),68.75
113,Bananas (1971),87.72
114,"Band Wagon, The (1953)",88.89
115,Barb Wire (1996),30
116,Barbarella (1968),53.57
117,Barcelona (1994),69.81
118,Basic Instinct (1992),84.16
119,"Basketball Diaries, The (1995)",75
120,Basquiat (1996),77.27
121,Bastard Out of Carolina (1996),68.75
122,Batman & Robin (1997),46.77
123,Batman (1989),86.07
124,Batman Forever (1995),57.02
125,Batman Returns (1992),57.04
126,Bean (1997),56.04
127,"Beans of Egypt, Maine, The (1994)",100
128,Beat the Devil (1954),100
129,"Beautician and the Beast, The (1997)",45.35
130,Beautiful Girls (1996),83.48
131,Beautiful Thing (1996),93.1
132,Beauty and the Beast (1991),90.1
133,Beavis and Butt-head Do America (1996),62.18
134,Bed of Roses (1996),75
135,Bedknobs and Broomsticks (1971),75.44
136,Before Sunrise (1995),79.59
137,Before and After (1996),69.23
138,Before the Rain (Pred dozhdot) (1994),90
139,Being There (1979),88.79
140,"Believers, The (1987)",37.5
141,Belle de jour (1967),94.59
142,Ben-Hur (1959),92.74
143,Benny & Joon (1993),87.25
144,Bent (1997),50
145,Best Men (1997),60
146,Best of the Best 3: No Turning Back (1995),16.67
147,Better Off Dead... (1985),89.87
148,"Beverly Hillbillies, The (1993)",35
149,Beverly Hills Cop III (1994),42.86
150,Beverly Hills Ninja (1997),52.08
151,"Bewegte Mann, Der (1994)",100
152,Beyond Rangoon (1995),77.78
153,Bhaji on the Beach (1993),62.5
154,"Big Bang Theory, The (1994)",100
155,"Big Blue, The (Grand bleu, Le) (1988)",70.59
156,Big Bully (1996),21.43
157,"Big Green, The (1995)",64.29
158,"Big Lebowski, The (1998)",83.33
159,Big Night (1996),89.47
160,"Big One, The (1997)",100
161,"Big Sleep, The (1946)",91.78
162,"Big Squeeze, The (1996)",50
163,Billy Madison (1995),72.97
164,Bio-Dome (1996),32.26
165,"Birdcage, The (1996)",80.55
166,"Birds, The (1963)",93.83
167,Bitter Moon (1992),70
168,Bitter Sugar (Azucar Amargo) (1996),100
169,Black Beauty (1994),85.19
170,Black Sheep (1996),56.36
171,Blade Runner (1982),94.91
172,Blink (1994),84.21
173,Bliss (1997),42.86
174,"Blob, The (1958)",58.7
175,Blood & Wine (1997),72.73
176,Blood Beach (1981),33.33
177,Blood For Dracula (Andy Warhol's Dracula) (1974),40
178,Bloodsport 2 (1995),20
179,Blown Away (1994),62.07
180,"Blue Angel, The (Blaue Engel, Der) (1930)",100
181,Blue Chips (1994),55.56
182,Blue Sky (1994),91.67
183,Blue in the Face (1995),71.11
184,Blues Brothers 2000 (1998),64.29
185,"Blues Brothers, The (1980)",92.83
186,Bob Roberts (1992),85.88
187,Body Parts (1991),23.08
188,"Body Snatcher, The (1945)",86.36
189,Body Snatchers (1993),69.57
190,Bogus (1996),59.09
191,"Bonheur, Le (1965)",50
192,Bonnie and Clyde (1967),92.62
193,Boogie Nights (1997),82.01
194,Boomerang (1992),68.75
195,"Boot, Das (1981)",95.02
196,Booty Call (1997),39.58
197,Bottle Rocket (1996),77.27
198,Bound (1996),90.7
199,Boxing Helena (1993),33.33
200,Boy's Life 2 (1997),66.67
201,Boys (1996),83.33
202,Boys Life (1995),80
203,"Boys of St. Vincent, The (1993)",76.92
204,Boys on the Side (1995),73.53
205,"Boys, Les (1997)",66.67
206,"Brady Bunch Movie, The (1995)",65.79
207,Braindead (1992),78.57
208,Bram Stoker's Dracula (1992),72.5
209,Brassed Off (1996),93.75
210,Braveheart (1995),93.6
211,Brazil (1985),86.54
212,Bread and Chocolate (Pane e cioccolata) (1973),66.67
213,Breakdown (1997),87.01
214,Breakfast at Tiffany's (1961),87.37
215,Breaking the Waves (1996),85.14
216,Bride of Frankenstein (1935),89.13
217,"Bridge on the River Kwai, The (1957)",96.97
218,"Bridges of Madison County, The (1995)",70.15
219,Bringing Up Baby (1938),89.71
220,Broken Arrow (1996),72.05
221,Broken English (1996),37.5
222,"Bronx Tale, A (1993)",95.83
223,Brother Minister: The Assassination of Malcolm X (1994),60
224,"Brothers McMullen, The (1995)",90.41
225,Brothers in Trouble (1995),100
226,"Browning Version, The (1994)",60
227,Buddy (1997),25
228,Bulletproof (1996),73.47
229,Bullets Over Broadway (1994),89.53
230,Burnt By the Sun (1994),79.17
231,Burnt Offerings (1976),44.44
232,Bushwhacked (1995),14.29
233,Butch Cassidy and the Sundance Kid (1969),95.83
234,"Butcher Boy, The (1998)",100
235,"Bye Bye, Love (1995)",73.33
236,C'est arrivé près de chez vous (1992),50
237,Cabin Boy (1994),50
238,"Cable Guy, The (1996)",43.4
239,Calendar Girl (1993),33.33
240,Canadian Bacon (1994),55.17
241,"Candidate, The (1972)",97.44
242,Candyman (1992),56.92
243,Candyman: Farewell to the Flesh (1995),42.86
244,Cape Fear (1962),89.53
245,Cape Fear (1991),87.13
246,Captives (1994),33.33
247,Career Girls (1997),79.49
248,Carlito's Way (1993),88.89
249,Caro Diario (Dear Diary) (1994),75
250,Carpool (1996),60
251,Carrie (1976),86.78
252,Carried Away (1996),63.64
253,Carrington (1995),76.92
254,Casablanca (1942),99.18
255,Casino (1995),89.01
256,Casper (1995),73.08
257,Cat People (1982),64.58
258,Cat on a Hot Tin Roof (1958),98.39
259,Cats Don't Dance (1997),56.25
260,Caught (1996),87.5
261,Celestial Clockwork (1994),100
262,"Celluloid Closet, The (1995)",91.07
263,Celtic Pride (1996),46.67
264,"Cement Garden, The (1993)",90
265,Cemetery Man (Dellamorte Dellamore) (1994),60.87
266,Century (1993),100
267,Chain Reaction (1996),55
268,Chairman of the Board (1998),44.44
269,"Chamber, The (1996)",76.74
270,Charade (1963),95
271,Chasers (1994),40
272,Chasing Amy (1997),88.13
273,Children of the Corn: The Gathering (1996),10.53
274,Children of the Revolution (1996),80
275,Chinatown (1974),93.2
276,"Christmas Carol, A (1938)",97.1
277,Chungking Express (1994),82.14
278,"Ciao, Professore! (1993)",50
279,Cinderella (1950),92.25
280,Cinema Paradiso (1988),95.04
281,Circle of Friends (1995),88.16
282,Citizen Kane (1941),96.46
283,Citizen Ruth (1996),88.89
284,City Hall (1996),79.75
285,City Slickers II: The Legend of Curly's Gold (1994),54.55
286,City of Angels (1998),75
287,City of Industry (1997),50
288,"City of Lost Children, The (1995)",81.25
289,Clean Slate (1994),50
290,Clean Slate (Coup de Torchon) (1981),50
291,Clear and Present Danger (1994),91.06
292,Clerks (1994),87.84
293,"Client, The (1994)",85.57
294,Cliffhanger (1993),72.04
295,Clockers (1995),78.79
296,"Clockwork Orange, A (1971)",86.43
297,"Close Shave, A (1995)",98.21
298,Clueless (1995),86.47
299,Cobb (1994),66.67
300,Cold Comfort Farm (1995),88.8
301,"Collectionneuse, La (1967)",50
302,"Colonel Chabert, Le (1994)",100
303,Color of Night (1994),46.67
304,Commandments (1997),66.67
305,Con Air (1997),86.13
306,Conan the Barbarian (1981),70.09
307,Condition Red (1995),50
308,Coneheads (1993),41.46
309,Congo (1995),50
310,Conspiracy Theory (1997),82.37
311,Contact (1997),89.19
312,"Contempt (Mépris, Le) (1963)",77.78
313,"Convent, The (Convento, O) (1995)",50
314,"Cook the Thief His Wife & Her Lover, The (1989)",64.63
315,Cool Hand Luke (1967),96.34
316,Cool Runnings (1993),77.94
317,Cop Land (1997),80
318,Cops and Robbersons (1994),46.15
319,Copycat (1995),82.56
320,"Corrina, Corrina (1994)",82.05
321,Cosi (1996),100
322,Courage Under Fire (1996),90.5
323,"Cowboy Way, The (1994)",36.84
324,"Craft, The (1996)",75.96
325,Crash (1996),49.22
326,Crimson Tide (1995),91.56
327,Critical Care (1997),54.55
328,Cronos (1992),70
329,Crooklyn (1994),80
330,Crossfire (1947),100
331,"Crossing Guard, The (1995)",64.29
332,"Crow, The (1994)",82.09
333,"Crow: City of Angels, The (1996)",25.64
334,"Crucible, The (1996)",80.52
335,Crumb (1994),88.89
336,"Cry, the Beloved Country (1995)",83.33
337,"Crying Game, The (1992)",84.87
338,Curdled (1996),75
339,"Cure, The (1995)",83.33
340,Cutthroat Island (1995),44.44
341,Cyclo (1995),100
342,Cyrano de Bergerac (1990),89.39
343,"Cérémonie, La (1995)",100
344,D3: The Mighty Ducks (1996),52.63
345,Dadetown (1995),100
346,"Damsel in Distress, A (1937)",100
347,Dances with Wolves (1990),87.5
348,Dangerous Beauty (1998),92.31
349,Dangerous Ground (1997),25
350,Dangerous Minds (1995),78.72
351,Daniel Defoe's Robinson Crusoe (1996),50
352,Dante's Peak (1997),65.42
353,Dark City (1998),87.5
354,Dave (1993),92.78
355,"Davy Crockett, King of the Wild Frontier (1955)",63.64
356,"Day the Earth Stood Still, The (1951)",93.81
357,"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",50
358,Daylight (1996),61.4
359,Days of Thunder (1990),56.6
360,"Daytrippers, The (1996)",86.67
361,Dazed and Confused (1993),81.25
362,Dead Man (1995),91.18
363,Dead Man Walking (1995),90.3
364,Dead Poets Society (1989),93.23
365,Dead Presidents (1995),66.67
366,Dear God (1996),66.67
367,Death and the Maiden (1994),85.71
368,Death in Brunswick (1991),100
369,Deceiver (1997),55.17
370,Deconstructing Harry (1997),78.46
371,Deep Rising (1998),42.86
372,"Deer Hunter, The (1978)",87.5
373,Delicatessen (1991),92.31
374,Delta of Venus (1994),50
375,Demolition Man (1993),73.91
376,Denise Calls Up (1995),71.43
377,Desert Winds (1995),100
378,"Designated Mourner, The (1997)",28.57
379,Desperado (1995),81.44
380,Desperate Measures (1998),83.33
381,Destiny Turns on the Radio (1995),100
382,Devil in a Blue Dress (1995),85.96
383,"Devil's Advocate, The (1997)",85.11
384,"Devil's Own, The (1997)",76.25
385,Diabolique (1996),57.75
386,Dial M for Murder (1954),98.53
387,Die Hard (1988),93
388,Die Hard 2 (1990),84.94
389,Die Hard: With a Vengeance (1995),78.81
390,"Die xue shuang xiong (Killer, The) (1989)",93.55
391,Dingo (1992),60
392,Dirty Dancing (1987),67.35
393,Disclosure (1994),80
394,Diva (1981),87.88
395,Dolores Claiborne (1994),84.81
396,Don Juan DeMarco (1995),85.53
397,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),62.86
398,Donnie Brasco (1997),95.24
399,"Doom Generation, The (1995)",42.86
400,"Doors, The (1991)",63.04
401,Double Happiness (1994),85.71
402,Double Team (1997),30.77
403,"Double vie de Véronique, La (Double Life of Veronique, The) (1991)",81.82
404,Down Periscope (1996),58.42
405,Down by Law (1986),88.57
406,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),96.91
407,Dracula: Dead and Loving It (1995),32
408,Dragonheart (1996),74.05
409,Dream With the Fishes (1997),57.14
410,Drop Dead Fred (1991),41.67
411,Drop Zone (1994),58.06
412,Drunks (1995),40
413,Duck Soup (1933),94.62
414,Dumb & Dumber (1994),68.12
415,Dumbo (1941),86.18
416,Dunston Checks In (1996),28.57
417,Duoluo tianshi (1995),66.67
418,E.T. the Extra-Terrestrial (1982),88.33
419,East of Eden (1955),94.92
420,Eat Drink Man Woman (1994),97.5
421,Ed Wood (1994),83.46
422,Ed's Next Move (1996),66.67
423,Eddie (1996),67.5
424,"Edge, The (1997)",89.38
425,"Eighth Day, The (1996)",100
426,Emma (1996),88.7
427,"Empire Strikes Back, The (1980)",95.38
428,Enchanted April (1991),88.57
429,"Endless Summer 2, The (1994)",60
430,"Enfer, L' (1994)",75
431,"English Patient, The (1996)",82.74
432,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",78.12
433,Entertaining Angels: The Dorothy Day Story (1996),100
434,Eraser (1996),76.21
435,Escape from L.A. (1996),47.25
436,Escape from New York (1981),82.42
437,Escape to Witch Mountain (1975),70
438,Eve's Bayou (1997),79.69
439,Even Cowgirls Get the Blues (1993),40
440,"Evening Star, The (1996)",62.07
441,Event Horizon (1997),50.39
442,Everest (1998),100
443,Everyone Says I Love You (1996),76.79
444,Evil Dead II (1987),79.78
445,Evita (1996),64.86
446,Excess Baggage (1997),46.15
447,Executive Decision (1996),85.99
448,Exit to Eden (1994),68.75
449,Exotica (1994),88.89
450,Extreme Measures (1996),82.81
451,Eye for an Eye (1996),65.62
452,Face/Off (1997),89.69
453,Faces (1968),75
454,Fair Game (1995),36.36
455,FairyTale: A True Story (1997),66.67
456,Faithful (1996),70
457,Fall (1997),33.33
458,Fallen (1998),73.17
459,"Family Thing, A (1996)",95.56
460,"Fan, The (1996)",71.88
461,Fantasia (1940),87.36
462,Far From Home: The Adventures of Yellow Dog (1995),85.71
463,Farewell My Concubine (1993),91.3
464,"Farewell to Arms, A (1932)",100
465,Fargo (1996),93.7
466,Farinelli: il castrato (1994),70.59
467,Farmer & Chase (1995),100
468,"Fast, Cheap & Out of Control (1997)",75
469,Faster Pussycat! Kill! Kill! (1965),57.14
470,Fatal Instinct (1993),63.16
471,Father of the Bride (1950),93.33
472,Father of the Bride Part II (1995),65.62
473,Fathers' Day (1997),54.84
474,Faust (1994),80
475,Fausto (1993),66.67
476,Fear (1996),70.45
477,Fear of a Black Hat (1993),80
478,"Fear, The (1995)",100
479,Fearless (1993),76
480,Feast of July (1995),60
481,Feeling Minnesota (1996),59.38
482,Female Perversions (1996),62.5
483,Field of Dreams (1989),86.79
484,Fierce Creatures (1997),77.08
485,"Fifth Element, The (1997)",81.22
486,"Fille seule, La (A Single Girl) (1995)",100
487,Fire Down Below (1997),56.82
488,Fire on the Mountain (1996),100
489,Firestorm (1998),55.56
490,"Firm, The (1993)",82.12
491,First Kid (1996),70
492,First Knight (1995),67.44
493,"First Wives Club, The (1996)",70
494,"Fish Called Wanda, A (1988)",90.28
495,Fled (1996),52.94
496,Flesh and Bone (1993),50
497,"Flintstones, The (1994)",25.81
498,Flipper (1996),50
499,Flirt (1995),100
500,Flirting With Disaster (1996),90.48
501,"Flower of My Secret, The (Flor de mi secreto, La) (1995)",83.33
502,Flubber (1997),62.26
503,Fluke (1995),42.86
504,Fly Away Home (1996),88.89
505,"Fog, The (1980)",52.17
506,Fools Rush In (1997),75
507,For Ever Mozart (1996),33.33
508,For Love or Money (1993),75
509,For Richer or Poorer (1997),57.14
510,For Whom the Bell Tolls (1943),100
511,For the Moment (1994),33.33
512,"Forbidden Christ, The (Cristo proibito, Il) (1950)",75
513,Forbidden Planet (1956),95.52
514,Foreign Correspondent (1940),100
515,Forget Paris (1995),75.81
516,Forrest Gump (1994),88.47
517,Four Days in September (1997),83.33
518,Four Rooms (1995),65.56
519,Four Weddings and a Funeral (1994),90.84
520,"Fox and the Hound, The (1981)",70.49
521,Foxfire (1996),73.33
522,Frankie Starlight (1995),25
523,Free Willy (1993),48.48
524,Free Willy 2: The Adventure Home (1995),27.27
525,Free Willy 3: The Rescue (1997),22.22
526,Freeway (1996),73.81
527,French Kiss (1995),83.33
528,French Twist (Gazon maudit) (1995),79.49
529,Fresh (1994),100
530,Friday (1995),88.46
531,Fried Green Tomatoes (1991),90.85
532,"Frighteners, The (1996)",78.26
533,Frisk (1995),66.67
534,From Dusk Till Dawn (1996),68.48
535,"Fugitive, The (1993)",96.13
536,Full Metal Jacket (1987),88.82
