,Movie Title,Percentage of Positive Reviews
1053,"Paris, France (1993)",33.33
1054,"Paris, Texas (1984)",82.61
1055,Party Girl (1995),62.5
1056,Passion Fish (1992),82.14
1057,Pather Panchali (1955),100
1058,Paths of Glory (1957),93.94
1059,Patton (1970),94.85
1060,"Peacemaker, The (1997)",79.41
1061,Penny Serenade (1941),62.5
1062,"People vs. Larry Flynt, The (1996)",87.44
1063,"Perez Family, The (1995)",64.29
1064,"Perfect Candidate, A (1996)",75
1065,"Perfect World, A (1993)",90
1066,Persuasion (1995),90.91
1067,"Pest, The (1997)",37.5
1068,Pete's Dragon (1977),62.79
1069,"Phantom, The (1996)",53.75
1070,Phantoms (1998),30.77
1071,Phat Beach (1996),20
1072,Phenomenon (1996),88.11
1073,Philadelphia (1993),89.78
1074,"Philadelphia Story, The (1940)",95.19
1075,"Piano, The (1993)",83.93
1076,Picnic (1955),94.44
1077,Picture Bride (1995),80
1078,Picture Perfect (1997),70.37
1079,Pie in the Sky (1995),50
1080,"Pillow Book, The (1995)",84.62
1081,Pink Floyd - The Wall (1982),78.07
1082,Pinocchio (1940),92.08
1083,Platoon (1986),88.19
1084,Playing God (1997),48.84
1085,Pocahontas (1995),50.98
1086,Poetic Justice (1993),55.56
1087,Poison Ivy II (1995),30.77
1088,Pollyanna (1960),70.37
1089,"Pompatus of Love, The (1996)",71.43
1090,Ponette (1996),70
1091,"Portrait of a Lady, The (1996)",48
1092,"Postino, Il (1994)",92.9
1093,"Postman, The (1997)",72.41
1094,Powder (1995),72.92
1095,"Preacher's Wife, The (1996)",69.12
1096,Prefontaine (1997),100
1097,Pretty Woman (1990),75.61
1098,"Price Above Rubies, A (1998)",100
1099,Priest (1994),87.5
1100,Primal Fear (1996),91.57
1101,Primary Colors (1998),92.31
1102,"Princess Bride, The (1987)",94.14
1103,Princess Caraboo (1994),86.67
1104,Prisoner of the Mountains (Kavkazsky Plennik) (1996),80
1105,Private Benjamin (1980),68.66
1106,Private Parts (1997),85
1107,"Professional, The (1994)",87.25
1108,"Program, The (1993)",61.29
1109,"Promesse, La (1996)",83.33
1110,"Prophecy II, The (1998)",55
1111,"Prophecy, The (1995)",62.5
1112,Psycho (1960),93.31
1113,Pulp Fiction (1994),89.09
1114,Pump Up the Volume (1990),83.54
1115,Purple Noon (1960),85.71
1116,Pushing Hands (1992),50
1117,"Pyromaniac's Love Story, A (1995)",57.14
1118,"Queen Margot (Reine Margot, La) (1994)",91.67
1119,"Quest, The (1996)",44.44
1120,"Quick and the Dead, The (1995)",70.83
1121,"Quiet Man, The (1952)",98.51
1122,"Quiet Room, The (1996)",100
1123,Quiz Show (1994),93.71
1124,Race the Sun (1996),60
1125,Radioland Murders (1994),75
1126,Raging Bull (1980),93.97
1127,Raiders of the Lost Ark (1981),95.95
1128,"Rainmaker, The (1997)",91.72
1129,Raise the Red Lantern (1991),98.28
1130,Raising Arizona (1987),91.02
1131,Ran (1985),95.71
1132,Ransom (1996),89.89
1133,Ready to Wear (Pret-A-Porter) (1994),22.22
1134,Real Genius (1985),91.6
1135,Reality Bites (1994),68.83
1136,Rear Window (1954),99.04
1137,Rebecca (1940),93.94
1138,Rebel Without a Cause (1955),90
1139,Reckless (1995),62.5
1140,Red Corner (1997),84.21
1141,"Red Firecracker, Green Firecracker (1994)",69.23
1142,Red Rock West (1992),86.54
1143,"Ref, The (1994)",72.41
1144,Relative Fear (1994),33.33
1145,"Relic, The (1997)",52
1146,"Reluctant Debutante, The (1958)",100
1147,"Remains of the Day, The (1993)",90.67
1148,Renaissance Man (1994),65.12
1149,"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)",66.67
1150,Rent-a-Kid (1995),75
1151,"Replacement Killers, The (1998)",82.05
1152,Reservoir Dogs (1992),91.22
1153,Restoration (1995),83.1
1154,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",93.18
1155,Return of the Jedi (1983),93.89
1156,"Return of the Pink Panther, The (1974)",86.96
1157,Rhyme & Reason (1997),40
1158,"Rich Man's Wife, The (1996)",40
1159,Richard III (1995),89.89
1160,Richie Rich (1994),42.86
1161,Ridicule (1996),86.36
1162,"Right Stuff, The (1983)",96.82
1163,Rising Sun (1993),67.44
1164,"River Wild, The (1994)",80.14
1165,"Road to Wellville, The (1994)",41.18
1166,Rob Roy (1995),89.13
1167,Robert A. Heinlein's The Puppet Masters (1994),66.67
1168,Robin Hood: Men in Tights (1993),55.36
1169,Robin Hood: Prince of Thieves (1991),76
1170,Robocop 3 (1993),18.18
1171,"Rock, The (1996)",87.83
1172,Rocket Man (1997),51.02
1173,Roman Holiday (1953),97.06
1174,Romeo Is Bleeding (1993),67.57
1175,Romper Stomper (1992),80
1176,Romy and Michele's High School Reunion (1997),73.47
1177,"Room with a View, A (1986)",92.54
1178,Roommates (1995),84.62
1179,Roseanna's Grave (For Roseanna) (1997),60
1180,Rosencrantz and Guildenstern Are Dead (1990),91.11
1181,Rosewood (1997),89.47
1182,Rough Magic (1995),50
1183,Ruby in Paradise (1993),69.57
1184,Rudy (1993),79.69
1185,"Ruling Class, The (1972)",87.5
1186,Rumble in the Bronx (1995),85.63
1187,"Run of the Country, The (1995)",75
1188,S.F.W. (1994),50
1189,Sabrina (1954),95.31
1190,Sabrina (1995),88.95
1191,Safe (1995),100
1192,Safe Passage (1994),50
1193,"Saint of Fort Washington, The (1993)",100
1194,"Saint, The (1997)",70.25
1195,Salut cousin! (1996),50
1196,"Santa Clause, The (1994)",78.05
1197,Santa with Muscles (1996),100
1198,"Savage Nights (Nuits fauves, Les) (1992)",66.67
1199,"Scarlet Letter, The (1926)",50
1200,"Scarlet Letter, The (1995)",60
1201,Schindler's List (1993),96.64
1202,Schizopolis (1996),75
1203,"Scout, The (1994)",58.33
1204,Scream (1996),81.59
1205,Scream 2 (1997),73.58
1206,Scream of Stone (Schrei aus Stein) (1991),100
1207,Screamers (1995),58.7
1208,"Search for One-eye Jimmy, The (1996)",66.67
1209,Searching for Bobby Fischer (1993),94.2
1210,"Second Jungle Book: Mowgli & Baloo, The (1997)",33.33
1211,"Secret Adventures of Tom Thumb, The (1993)",60
1212,"Secret Agent, The (1996)",83.33
1213,"Secret Garden, The (1993)",91.14
1214,"Secret of Roan Inish, The (1994)",91.55
1215,Secrets & Lies (1996),95.68
1216,Selena (1997),81.25
1217,Sense and Sensibility (1995),94.03
1218,Senseless (1998),42.86
1219,Serial Mom (1994),57.41
1220,Set It Off (1996),78.95
1221,Seven (Se7en) (1995),86.86
1222,Seven Years in Tibet (1997),81.29
1223,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",77.78
1224,"Sex, Lies, and Videotape (1989)",86.14
1225,Sgt. Bilko (1996),54.05
1226,Shadow Conspiracy (1997),61.36
1227,"Shadow, The (1994)",71.11
1228,Shadowlands (1993),96.15
1229,"Shaggy Dog, The (1959)",70
1230,Shall We Dance? (1937),82.35
1231,Shall We Dance? (1996),93.48
1232,Shallow Grave (1994),89.39
1233,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),76.92
1234,"Shawshank Redemption, The (1994)",97.53
1235,She's So Lovely (1997),60.38
1236,She's the One (1996),69.86
1237,Shiloh (1997),58.33
1238,Shine (1996),93.02
1239,"Shining, The (1980)",88.83
1240,"Shooter, The (1995)",66.67
1241,Shooting Fish (1997),50
1242,Short Cuts (1993),91.04
1243,"Show, The (1995)",50
1244,Showgirls (1995),21.74
1245,"Silence of the Lambs, The (1991)",95.9
1246,"Silence of the Palace, The (Saimt el Qusur) (1994)",100
1247,"Simple Twist of Fate, A (1994)",80
1248,"Simple Wish, A (1997)",33.33
1249,Singin' in the Rain (1952),91.97
1250,Sirens (1994),72.88
1251,Six Degrees of Separation (1993),91.89
1252,"Sixth Man, The (1997)",77.78
1253,Sleeper (1973),85.37
1254,Sleepers (1996),87.57
1255,Sleepless in Seattle (1993),83.1
1256,Sleepover (1995),100
1257,Sliding Doors (1998),40
1258,Sling Blade (1996),97.79
1259,"Slingshot, The (1993)",100
1260,Sliver (1993),40.54
1261,"Smile Like Yours, A (1997)",76
1262,Smilla's Sense of Snow (1997),77.08
1263,Smoke (1995),93.24
1264,Sneakers (1992),89.33
1265,Snow White and the Seven Dwarfs (1937),92.44
1266,So Dear to My Heart (1949),75
1267,So I Married an Axe Murderer (1993),68.42
1268,Solo (1996),16.67
1269,Some Folks Call It a Sling Blade (1993),97.56
1270,Some Kind of Wonderful (1987),98.31
1271,Some Like It Hot (1959),91.41
1272,Some Mother's Son (1996),100
1273,Someone Else's America (1995),100
1274,Something to Talk About (1995),61.54
1275,Somewhere in Time (1980),85.37
1276,Son in Law (1993),46.15
1277,Sophie's Choice (1982),93.1
1278,Soul Food (1997),76.27
1279,"Sound of Music, The (1965)",86.49
1280,Space Jam (1996),64.52
1281,"Spanish Prisoner, The (1997)",100
1282,Spanking the Monkey (1994),77.78
1283,Spawn (1997),52.45
1284,"Specialist, The (1994)",45
1285,Species (1995),62.22
1286,Speechless (1994),77.78
1287,Speed (1994),87.39
1288,Speed 2: Cruise Control (1997),28.95
1289,Spellbound (1945),100
1290,Sphere (1998),65.85
1291,Spice World (1997),34.62
1292,Spirits of the Dead (Tre passi nel delirio) (1968),50
1293,"Spitfire Grill, The (1996)",87.63
1294,Spy Hard (1996),48.84
1295,Squeeze (1996),33.33
1296,Stag (1997),33.33
1297,Stalingrad (1993),66.67
1298,Stalker (1979),72.73
1299,Stand by Me (1986),96.92
1300,Star Kid (1997),100
1301,"Star Maker, The (Uomo delle stelle, L') (1995)",83.33
1302,Star Maps (1997),73.68
1303,Star Trek III: The Search for Spock (1984),76.61
1304,Star Trek IV: The Voyage Home (1986),82.41
1305,Star Trek V: The Final Frontier (1989),42.86
1306,Star Trek VI: The Undiscovered Country (1991),78.26
1307,Star Trek: First Contact (1996),89.86
1308,Star Trek: Generations (1994),81.9
1309,Star Trek: The Motion Picture (1979),70.09
1310,Star Trek: The Wrath of Khan (1982),93.03
1311,Star Wars (1977),95.72
1312,Stargate (1994),74.8
1313,"Stars Fell on Henrietta, The (1995)",33.33
1314,Starship Troopers (1997),73.46
1315,"Steal Big, Steal Little (1995)",57.14
1316,Stealing Beauty (1996),71.88
1317,Steel (1997),36.84
1318,Stephen King's The Langoliers (1995),48.28
1319,"Sting, The (1973)",97.93
1320,Stonewall (1995),100
1321,"Story of Xinghua, The (1993)",80
1322,Strange Days (1995),77.01
1323,Stranger in the House (1997),42.86
1324,"Stranger, The (1994)",66.67
1325,Strawberry and Chocolate (Fresa y chocolate) (1993),72.73
1326,Street Fighter (1994),50
1327,"Streetcar Named Desire, A (1951)",90.82
1328,Strictly Ballroom (1992),96.15
1329,Striking Distance (1993),58.33
1330,Stripes (1981),100
1331,Striptease (1996),35.82
1332,Stuart Saves His Family (1995),43.75
1333,"Stupids, The (1996)",29.41
1334,SubUrbia (1997),100
1335,"Substance of Fire, The (1996)",75
1336,"Substitute, The (1996)",55.1
1337,Sudden Death (1995),61.7
1338,"Sum of Us, The (1994)",81.82
1339,"Sunchaser, The (1996)",100
1340,Sunset Blvd. (1950),96.92
1341,Sunset Park (1996),50
1342,Super Mario Bros. (1993),34.62
1343,Supercop (1992),86.15
1344,Surviving Picasso (1996),73.68
1345,Surviving the Game (1994),63.64
1346,Suture (1993),50
1347,"Swan Princess, The (1994)",57.14
1348,"Sweet Hereafter, The (1997)",86.36
1349,Sweet Nothing (1995),100
1350,Swept from the Sea (1997),42.86
1351,Swimming with Sharks (1995),85.11
1352,Swingers (1996),89.81
1353,Swiss Family Robinson (1960),89.74
1354,Switchback (1997),58.82
1355,Switchblade Sisters (1975),76.92
1356,"Sword in the Stone, The (1963)",92.68
1357,Tainted (1998),100
1358,Tales From the Crypt Presents: Demon Knight (1995),65.12
1359,Tales from the Crypt Presents: Bordello of Blood (1996),56.36
1360,Tales from the Hood (1995),40.74
1361,Talking About Sex (1994),40
1362,"Tango Lesson, The (1997)",84.62
1363,Tank Girl (1995),63.41
1364,Target (1995),100
1365,Taxi Driver (1976),94.51
1366,Telling Lies in America (1997),76.92
1367,Temptress Moon (Feng Yue) (1996),33.33
1368,Terminal Velocity (1994),55.88
1369,Terminator 2: Judgment Day (1991),91.19
1370,"Terminator, The (1984)",92.69
1371,Tetsuo II: Body Hammer (1992),66.67
1372,That Darn Cat! (1965),57.89
1373,That Darn Cat! (1997),41.46
1374,That Old Feeling (1997),81.82
1375,That Thing You Do! (1996),88.07
1376,The Deadly Cure (1996),50
1377,The Innocent (1994),75
1378,Theodore Rex (1995),20
1379,They Made Me a Criminal (1939),100
1380,"Thieves (Voleurs, Les) (1996)",100
1381,"Thin Blue Line, The (1988)",94.29
1382,"Thin Line Between Love and Hate, A (1996)",41.67
1383,"Thin Man, The (1934)",96.67
1384,Things to Do in Denver when You're Dead (1995),76.06
1385,Thinner (1996),51.02
1386,"Third Man, The (1949)",97.22
1387,Thirty-Two Short Films About Glenn Gould (1993),100
1388,This Is Spinal Tap (1984),91.62
1389,"Thousand Acres, A (1997)",78.38
1390,"Three Caballeros, The (1945)",63.64
1391,Three Colors: Blue (1993),93.75
1392,Three Colors: Red (1994),91.57
1393,Three Colors: White (1994),93.22
1394,Three Lives and Only One Death (1996),100
1395,"Three Musketeers, The (1993)",83.15
1396,Three Wishes (1995),66.67
1397,Threesome (1994),67.74
1398,Tie Me Up! Tie Me Down! (1990),84.38
1399,"Tie That Binds, The (1995)",42.86
1400,"Time to Kill, A (1996)",90.52
1401,Timecop (1994),77.42
1402,Tin Cup (1996),76.17
1403,"Tin Drum, The (Blechtrommel, Die) (1979)",87.5
1404,Tin Men (1987),84.31
1405,Titanic (1997),93.43
1406,To Be or Not to Be (1942),88.89
1407,To Catch a Thief (1955),96
1408,To Die For (1995),74.71
1409,To Gillian on Her 37th Birthday (1996),63.64
1410,"To Have, or Not (1995)",50
1411,To Kill a Mockingbird (1962),98.17
1412,To Live (Huozhe) (1994),85.71
1413,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",68.42
1414,Tokyo Fist (1995),100
1415,Tom & Viv (1994),88.89
1416,Tom and Huck (1995),83.33
1417,Tombstone (1993),89.81
1418,Tommy Boy (1995),68.18
1419,Tomorrow Never Dies (1997),86.11
1420,Top Gun (1986),83.64
1421,Top Hat (1935),85.71
1422,Total Eclipse (1995),50
1423,Touch (1997),66.67
1424,Touch of Evil (1958),97.06
1425,Tough and Deadly (1995),50
1426,Toy Story (1995),92.26
1427,Trainspotting (1996),89.6
1428,"Transformers: The Movie, The (1986)",65.62
1429,Traveller (1997),76.92
1430,"Treasure of the Sierra Madre, The (1948)",96.25
1431,Trees Lounge (1996),78
1432,Trial and Error (1997),52.17
1433,Trial by Jury (1994),57.14
1434,"Trigger Effect, The (1996)",80
1435,True Crime (1995),88.89
1436,True Lies (1994),85.58
1437,True Romance (1993),90.38
1438,"Truman Show, The (1998)",63.64
1439,Trust (1990),89.47
1440,"Truth About Cats & Dogs, The (1996)",88.24
1441,"Truth or Consequences, N.M. (1997)",33.33
1442,Turbo: A Power Rangers Movie (1997),20
1443,Turbulence (1997),52.17
1444,"Turning, The (1992)",50
1445,Twelfth Night (1996),86.21
1446,Twelve Monkeys (1995),89.8
1447,Twilight (1998),50
1448,Twin Town (1997),33.33
1449,Twisted (1996),100
1450,Twister (1996),73.04
1451,Two Bits (1995),40
1452,Two Deaths (1995),50
1453,Two Friends (1986) ,100
1454,Two Much (1996),57.14
1455,Two if by Sea (1996),56
1456,Two or Three Things I Know About Her (1966),75
1457,U Turn (1997),81.25
1458,U.S. Marshalls (1998),77.78
1459,Ulee's Gold (1997),93.48
1460,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",85.71
1461,"Unbearable Lightness of Being, The (1988)",77.17
1462,Under Siege (1992),79.03
1463,Under Siege 2: Dark Territory (1995),52.08
1464,Underground (1995),60
1465,"Underneath, The (1995)",75
1466,Underworld (1997),75
1467,Unforgettable (1996),79.41
1468,Unforgiven (1992),93.96
1469,Unhook the Stars (1996),60
1470,Unstrung Heroes (1995),81.82
1471,Until the End of the World (Bis ans Ende der Welt) (1991),60.87
1472,Unzipped (1995),81.82
1473,Up Close and Personal (1996),74.12
1474,Up in Smoke (1978),85.11
1475,"Usual Suspects, The (1995)",96.63
1476,Vampire in Brooklyn (1995),16.67
1477,"Van, The (1996)",50
1478,Vanya on 42nd Street (1994),85.19
1479,Vegas Vacation (1997),42.67
1480,Vermin (1998),50
1481,Vertigo (1958),97.77
1482,"Very Brady Sequel, A (1996)",43.01
1483,Victor/Victoria (1982),85.71
1484,Village of the Damned (1995),63.64
1485,Virtuosity (1995),57.89
1486,"Visitors, The (Visiteurs, Les) (1993)",50
1487,Volcano (1997),62.56
1488,Wag the Dog (1997),84.67
1489,Waiting for Guffman (1996),100
1490,Waiting to Exhale (1995),56.25
1491,"Walk in the Clouds, A (1995)",76.19
1492,"Walk in the Sun, A (1945)",100
1493,Walkabout (1971),100
1494,"Walking Dead, The (1995)",50
1495,Walking and Talking (1996),87.5
1496,Wallace & Gromit: The Best of Aardman Animation (1996),98.51
1497,"War Room, The (1993)",88.89
1498,"War, The (1994)",73.33
1499,Warriors of Virtue (1997),70
1500,Washington Square (1997),79.41
1501,Waterworld (1995),64.71
1502,Wedding Bell Blues (1996),100
1503,"Wedding Gift, The (1994)",100
1504,"Wedding Singer, The (1998)",83.33
1505,Weekend at Bernie's (1989),51.67
1506,Welcome To Sarajevo (1997),72.73
1507,Welcome to the Dollhouse (1995),86.61
1508,Wes Craven's New Nightmare (1994),54.29
1509,What Happened Was... (1994),50
1510,What's Eating Gilbert Grape (1993),84.35
1511,What's Love Got to Do with It (1993),84.44
1512,When Harry Met Sally... (1989),93.79
1513,When Night Is Falling (1995),100
1514,When We Were Kings (1996),90.91
1515,When a Man Loves a Woman (1994),87.18
1516,When the Cats Away (Chacun cherche son chat) (1996),87.5
1517,While You Were Sleeping (1995),89.51
1518,"White Balloon, The (1995)",60
1519,White Man's Burden (1995),30
1520,White Squall (1996),81.18
1521,"Whole Wide World, The (1996)",100
1522,Widows' Peak (1994),89.47
1523,"Wife, The (1995)",100
1524,Wild America (1997),77.78
1525,Wild Bill (1995),58.33
1526,"Wild Bunch, The (1969)",97.67
1527,Wild Reeds (1994),85.71
1528,Wild Things (1998),45.45
1529,William Shakespeare's Romeo and Juliet (1996),80.19
1530,Willy Wonka and the Chocolate Factory (1971),84.05
1531,Window to Paris (1994),100
1532,Wings of Courage (1995),100
1533,Wings of Desire (1987),91.23
1534,"Wings of the Dove, The (1997)",92
1535,Winnie the Pooh and the Blustery Day (1968),88
1536,"Winter Guest, The (1997)",77.78
1537,Wishmaster (1997),48.15
1538,With Honors (1994),69.57
1539,Withnail and I (1987),69.23
1540,Witness (1985),100
1541,"Wizard of Oz, The (1939)",93.9
1542,Wolf (1994),61.19
1543,"Women, The (1939)",86.67
1544,"Wonderful, Horrible Life of Leni Riefenstahl, The (1993)",100
1545,Wonderland (1997),70
1546,"Wooden Man's Bride, The (Wu Kui) (1994)",66.67
1547,"World of Apu, The (Apur Sansar) (1959)",83.33
1548,"Wrong Trousers, The (1993)",97.46
1549,Wyatt Earp (1994),76
1550,Year of the Horse (1997),57.14
1551,You So Crazy (1994),100
1552,Young Frankenstein (1974),93
1553,Young Guns (1988),84.16
1554,Young Guns II (1990),63.64
1555,"Young Poisoner's Handbook, The (1995)",78.05
1556,'Til There Was You (1997),44.44
